Schluessel;Name;Type;Wert
8212;Karlsruhe;Stadtkreis;18.3
8215;Karlsruhe;Landkreis;20.9
8216;Rastatt;Landkreis;21.3
8221;Heidelberg;Stadtkreis;16.2
8222;Mannheim;Stadtkreis;18.5
8225;Neckar-Odenwald-Kreis;Landkreis;21.3
8226;Rhein-Neckar-Kreis;Landkreis;21.3
8231;Pforzheim;Stadtkreis;20.3
8235;Calw;Landkreis;20.5
8236;Enzkreis;Landkreis;20.9
8237;Freudenstadt;Landkreis;20.4
8311;Freiburg im Breisgau;Stadtkreis;16.3
8315;Breisgau-Hochschwarzwald;Landkreis;21.5
8316;Emmendingen;Landkreis;20.6
8317;Ortenaukreis;Landkreis;20.6
8325;Rottweil;Landkreis;20.9
8326;Schwarzwald-Baar-Kreis;Landkreis;22.1
8327;Tuttlingen;Landkreis;19.4
8335;Konstanz;Landkreis;20.7
8336;Lörrach;Landkreis;20.1
8337;Waldshut;Landkreis;20.9
8415;Reutlingen;Landkreis;20.3
8416;Tübingen;Landkreis;17.0
8417;Zollernalbkreis;Landkreis;21.9
8421;Ulm;Stadtkreis;18.4
8425;Alb-Donau-Kreis;Landkreis;19.1
8426;Biberach;Landkreis;18.4
8435;Bodenseekreis;Landkreis;22.4
8436;Ravensburg;Landkreis;19.5
8437;Sigmaringen;Landkreis;20.1
9161;Ingolstadt;;18.5
9162;München;Landeshauptstadt;17.8
9163;Rosenheim;;20.1
9171;Altötting;Landkreis;21.7
9172;Berchtesgadener Land;Landkreis;23.6
9173;Bad Tölz-Wolfratshausen;Landkreis;21.2
9174;Dachau;Landkreis;18.3
9175;Ebersberg;Landkreis;18.7
9176;Eichstätt;Landkreis;17.4
9177;Erding;Landkreis;16.7
9178;Freising;Landkreis;15.7
9179;Fürstenfeldbruck;Landkreis;21.5
9180;Garmisch-Partenkirchen;Landkreis;25.0
9181;Landsberg am Lech;Landkreis;19.7
9182;Miesbach;Landkreis;22.6
9183;Mühldorf a.Inn;Landkreis;19.8
9184;München;Landkreis;20.5
9185;Neuburg-Schrobenhausen;Landkreis;18.8
9186;Pfaffenhofen a.d.Ilm;Landkreis;17.9
9187;Rosenheim;Landkreis;21.1
9188;Starnberg;Landkreis;22.8
9189;Traunstein;Landkreis;22.6
9190;Weilheim-Schongau;Landkreis;21.4
9261;Landshut;;20.6
9262;Passau;;21.5
9263;Straubing;;21.2
9271;Deggendorf;Landkreis;20.0
9272;Freyung-Grafenau;Landkreis;21.3
9273;Kelheim;Landkreis;18.3
9274;Landshut;Landkreis;18.4
9275;Passau;Landkreis;21.7
9276;Regen;Landkreis;22.0
9277;Rottal-Inn;Landkreis;21.1
9278;Straubing-Bogen;Landkreis;19.3
9279;Dingolfing-Landau;Landkreis;18.8
9361;Amberg;;23.3
9362;Regensburg;;17.2
9363;Weiden i.d.OPf.;;23.1
9371;Amberg-Sulzbach;Landkreis;20.8
9372;Cham;Landkreis;20.8
9373;Neumarkt i.d.OPf.;Landkreis;18.8
